wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
collection	Album	73568	1454734940	6503	Ella Fitzgerald & Louis Armstrong	Ella & Louis for Lovers	Ella & Louis for Lovers	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-louis-for-lovers/1454734940?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0b/a1/97/0ba1976d-d023-48d1-287e-52b104208a10/06UMGIM19694.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0b/a1/97/0ba1976d-d023-48d1-287e-52b104208a10/06UMGIM19694.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11	A Verve Label Group Release; This Compilation ℗ 2005 UMG Recordings, Inc.	USA	USD	2005-06-06T07:00:00Z	Jazz
collection	Album	518462	516685592	52456	Louis Armstrong, Tyree Glenn & Tommy Gwaltney	Satchmo at the National Press Club - Red Beans and Rice-Ly Yours (Live)	Satchmo at the National Press Club - Red Beans and Rice-Ly Yours (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-the-national-press-club-red-beans-and-rice/516685592?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/c0/fc/f0/c0fcf050-bed0-250e-78b5-6d87de61bdce/V4HttpAssetRepositoryClient-ticket.dxmvauto.jpg-5442672848831280882.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/c0/fc/f0/c0fcf050-bed0-250e-78b5-6d87de61bdce/V4HttpAssetRepositoryClient-ticket.dxmvauto.jpg-5442672848831280882.jpg/100x100bb.jpg	9.99	notExplicit	11		USA	USD	2012-04-24T07:00:00Z	Jazz
collection	Album	518462	1440749171	52456	Louis Armstrong	Disney Songs the Satchmo Way	Disney Songs the Satchmo Way	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/disney-songs-the-satchmo-way/1440749171?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/05/5f/61/055f6156-cef6-d68b-b4b7-71cbfda87427/00050086092079.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/05/5f/61/055f6156-cef6-d68b-b4b7-71cbfda87427/00050086092079.rgb.jpg/100x100bb.jpg	6.99	notExplicit	10	℗ 1996 Buena Vista Pictures Distribution, Inc.	USA	USD	1996-01-01T08:00:00Z	Jazz
collection	Album	518462	1425244065	52456	Louis Armstrong & Ella Fitzgerald	Porgy and Bess	Porgy and Bess	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/porgy-and-bess/1425244065?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c5/43/8a/c5438ab2-d677-e715-c10d-8fb72de2cd74/06UMGIM15223.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c5/43/8a/c5438ab2-d677-e715-c10d-8fb72de2cd74/06UMGIM15223.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15	A Verve Label Group release; ℗ 1958 UMG Recordings, Inc.	USA	USD	1958-01-01T08:00:00Z	Jazz
collection	Album	73568	1359340014	6503	Ella Fitzgerald & Louis Armstrong	Cheek To Cheek: The Complete Duet Recordings	Cheek To Cheek: The Complete Duet Recordings	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/cheek-to-cheek-the-complete-duet-recordings/1359340014?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/a7/0c/fda70c9b-1e6a-8915-b8db-71f8456d034e/18UMGIM13490.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/a7/0c/fda70c9b-1e6a-8915-b8db-71f8456d034e/18UMGIM13490.rgb.jpg/100x100bb.jpg	39.99	notExplicit	75	A Verve Records release; ℗ 2018 UMG Recordings, Inc.	USA	USD	2018-04-06T07:00:00Z	Jazz
collection	Album	518462	186308940	52456	Louis Armstrong	Ken Burns Jazz: Louis Armstrong	Ken Burns Jazz: Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/ken-burns-jazz-louis-armstrong/186308940?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/54/a4/8b/mzi.dfggrevb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/54/a4/8b/mzi.dfggrevb.jpg/100x100bb.jpg	9.99	notExplicit	25	℗ Compilation (P) 2000 SONY BMG MUSIC ENTERTAINMENT/The Verve Music Group, a Division UMG Recordings, Inc.	USA	USD	2000-11-03T08:00:00Z	Jazz
collection	Album	518462	477023849	52456	Louis Armstrong	The Complete Hot Five & Hot Seven Recordings	The Complete Hot Five & Hot Seven Recordings	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-hot-seven-recordings/477023849?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/a6/37/90/a6379001-6d78-77af-64a8-2d370390d345/dj.xhneepwy.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/a6/37/90/a6379001-6d78-77af-64a8-2d370390d345/dj.xhneepwy.jpg/100x100bb.jpg	29.99	notExplicit	93	℗ Originally Released 1926, 1927 Courtesy of MCA Records under license from Universal Music Enterprises. Originally released 1925, 1926, 1927, 1928, 1929, 1937, 1940, 1941. All rights reserved by SONY BMG MUSIC ENTERTAINMENT, (P) 2000, 2006 SONY BMG MU	USA	USD	2006-09-19T07:00:00Z	Jazz
collection	Album	25687	716211198	3094	Bing Crosby & Louis Armstrong	Bing & Satchmo	Bing & Satchmo	https://music.apple.com/us/artist/bing-crosby/25687?uo=4	https://music.apple.com/us/album/bing-satchmo/716211198?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/0b/b5/cd/0bb5cdde-b569-ede4-beff-798ae6c4b26f/05099968641757.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/0b/b5/cd/0bb5cdde-b569-ede4-beff-798ae6c4b26f/05099968641757.jpg/100x100bb.jpg	9.99	notExplicit	12	This Compilation ℗ 2008 Capitol Records, LLC	USA	USD	2008-01-01T08:00:00Z	Vocal
collection	Album	518462	1425262446	52456	Louis Armstrong & Oscar Peterson	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-meets-oscar-peterson-expanded-edition/1425262446?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/df/15/4cdf155c-ad11-2f43-6c74-a02f1f3189a2/06UMGIM21256.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/df/15/4cdf155c-ad11-2f43-6c74-a02f1f3189a2/06UMGIM21256.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ 1985 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1957-10-14T08:00:00Z	Jazz
collection	Album	518462	200036163	52456	Louis Armstrong	Satch Blows the Blues	Satch Blows the Blues	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satch-blows-the-blues/200036163?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ Originally Released 1928, 1929, 1930, 1931, 1954 (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-26T07:00:00Z	Jazz
collection	Album	405220	194021777	6746	Louis Armstrong & Earl Hines	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	https://music.apple.com/us/artist/earl-fatha-hines/405220?uo=4	https://music.apple.com/us/album/louis-armstrong-vol-4-louis-armstrong-and-earl-hines/194021777?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ Originally Released 1928, 1929, 1941 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1989-08-18T07:00:00Z	Jazz
collection	Album	518462	1434925400	52456	Louis Armstrong	The Ultimate Collection: Louis Armstrong	The Ultimate Collection: Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-ultimate-collection-louis-armstrong/1434925400?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9a/1f/92/9a1f92a0-3e90-f816-17ba-fa8c3136acdb/06UMGIM07953.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9a/1f/92/9a1f92a0-3e90-f816-17ba-fa8c3136acdb/06UMGIM07953.rgb.jpg/100x100bb.jpg	27.99	notExplicit	59	A Verve Records release; This Compilation ℗ 2000 UMG Recordings Inc.	USA	USD	2000-07-25T07:00:00Z	Jazz
collection	Album	518462	171086591	52456	Louis Armstrong	The Great Chicago Concert 1956 - Complete	The Great Chicago Concert 1956 - Complete	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-chicago-concert-1956-complete/171086591?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/100x100bb.jpg	16.99	notExplicit	26	℗ Originally Recorded 1956, Originally Released 1957, (P) 1980 Sony Music Entertainment Inc. WARNING: All rights reserved. Unauthorized duplication is a violation of applicable laws.	USA	USD	1997-04-29T07:00:00Z	Jazz
collection	Album	73568	1442955474	6503	Ella Fitzgerald & Louis Armstrong	Ella and Louis Again	Ella and Louis Again	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-and-louis-again/1442955474?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/82/97/ba8297ec-91b4-b660-ce5c-7116a7bb7841/06UMGIM11030.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/82/97/ba8297ec-91b4-b660-ce5c-7116a7bb7841/06UMGIM11030.rgb.jpg/100x100bb.jpg	11.99	notExplicit	19	A Verve Label Group Release; ℗ 1957 UMG Recordings, Inc.	USA	USD	1957-02-25T08:00:00Z	Jazz
collection	Album	518462	293785416	52456	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 2	The Complete Hot Five and Hot Seven Recordings, Vol. 2	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-2/293785416?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/100x100bb.jpg	9.99	notExplicit	22	℗ Originally Released 1926, 1927, 1928, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z	Jazz
collection	Album	73568	1434904687	6503	Ella Fitzgerald & Louis Armstrong	The Complete Ella and Louis On Verve	The Complete Ella and Louis On Verve	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/the-complete-ella-and-louis-on-verve/1434904687?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0a/13/58/0a1358fb-efc4-39cc-a237-e7f289a0076c/06UMGIM08157.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0a/13/58/0a1358fb-efc4-39cc-a237-e7f289a0076c/06UMGIM08157.rgb.jpg/100x100bb.jpg	27.99	notExplicit	47	A Verve Records Release; This Compilation ℗ 1997 UMG Recordings Inc.	USA	USD	1997-05-20T07:00:00Z	Jazz
collection	Album	518462	157407490	52456	Louis Armstrong and His All-Stars	Ambassador Satch (Live in Europe 1955)	Ambassador Satch (Live in Europe 1955)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/ambassador-satch-live-in-europe-1955/157407490?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/100x100bb.jpg	9.99	notExplicit	13	℗ Originally Recorded 1955, Originally Released 1956 Sony Music Entertainment Inc.	USA	USD	2000-06-07T07:00:00Z	Jazz
collection	Album	518462	157384070	52456	Louis Armstrong	Super Hits	Super Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/super-hits/157384070?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/100x100bb.jpg	5.99	notExplicit	10	℗ Originally Released 1954,1957,1959,1967,1982, (P) 2000 Sony Music Entertainment Inc.	USA	USD	2000-01-07T08:00:00Z	Jazz
collection	Album	518462	158662145	52456	Louis Armstrong	The Essence of Louis Armstrong	The Essence of Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-essence-of-louis-armstrong/158662145?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/100x100bb.jpg	9.99	notExplicit	12	℗ 1991 Sony Music Entertainment Inc.	USA	USD	1991-10-11T07:00:00Z	Jazz
collection	Album	518462	293785410	52456	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 3	The Complete Hot Five and Hot Seven Recordings, Vol. 3	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-3/293785410?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/100x100bb.jpg	9.99	notExplicit	22	℗ Originally Released 1928, 1929, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z	Jazz
